"PAH","Date","ER"
"3-Methylcholanthrene","May06",0.18
"3-Methylcholanthrene","May18",0.15
"3-Methylcholanthrene","May24",0.21
"7,12-Dimethylbenz(a)anthracene","May06",2.4
"7,12-Dimethylbenz(a)anthracene","May18",0.47
"7,12-Dimethylbenz(a)anthracene","May24",2.9
"Acridine","May06",1.9
"Acridine","May18",0.31
"Acridine","May24",0.91
"Anthracene","May06",13
"Anthracene","May18",2.8
"Anthracene","May24",9.5
"Benz(a)anthracene","May06",5.9
"Benz(a)anthracene","May18",0.56
"Benz(a)anthracene","May24",3.1
"Benzo(a)pyrene","May06",2.1
"Benzo(a)pyrene","May18",0.28
"Benzo(a)pyrene","May24",1
"Benzo(b)fluoranthene","May06",3.4
"Benzo(b)fluoranthene","May18",0.37
"Benzo(b)fluoranthene","May24",0.89
"Benzo(c)phenanthrene","May06",1.7
"Benzo(c)phenanthrene","May18",0.28
"Benzo(c)phenanthrene","May24",1.3
"Benzo(ghi)perylene","May06",1.1
"Benzo(ghi)perylene","May18",0.14
"Benzo(ghi)perylene","May24",0.16
"Benzo(k)fluoranthene","May06",2.2
"Benzo(k)fluoranthene","May18",0.28
"Benzo(k)fluoranthene","May24",0.93
"Chrysene","May06",12
"Chrysene","May18",1.4
"Chrysene","May24",7.3
"Dibenz(a,h)anthracene","May06",0.66
"Dibenz(a,h)anthracene","May18",0.13
"Dibenz(a,h)anthracene","May24",0.59
"Dibenzo(a,h)pyrene","May06",0.038
"Dibenzo(a,h)pyrene","May18",0.032
"Dibenzo(a,h)pyrene","May24",0.061
"Dibenzo(a,i)pyrene","May06",0.041
"Dibenzo(a,i)pyrene","May18",0.18
"Dibenzo(a,i)pyrene","May24",0.041
"Dibenzo(a,l)pyrene","May06",0.2
"Dibenzo(a,l)pyrene","May18",0.1
"Dibenzo(a,l)pyrene","May24",0.055
"Fluoranthene","May06",19
"Fluoranthene","May18",1.7
"Fluoranthene","May24",11
"Indeno(123-cd)pyrene","May06",1
"Indeno(123-cd)pyrene","May18",0.22
"Indeno(123-cd)pyrene","May24",0.41
"Pyrene","May06",16
"Pyrene","May18",1.7
"Pyrene","May24",11
