"treatment","CEC","BaP","LPS"
"none",0,"no BaP","no LPS"
"LPS",0,"no BaP","LPS"
"BaP",277.910182754191,"BaP","no LPS"
"both",186.070229204125,"BaP","LPS"
"none",0,"no BaP","no LPS"
"LPS",0,"no BaP","LPS"
"BaP",316.789813483851,"BaP","no LPS"
"both",188.268263585454,"BaP","LPS"
"none",0,"no BaP","no LPS"
"LPS",0,"no BaP","LPS"
"BaP",337.925840341699,"BaP","no LPS"
"both",157.388382091391,"BaP","LPS"
"none",0,"no BaP","no LPS"
"LPS",0,"no BaP","LPS"
"BaP",248.088869693041,"BaP","no LPS"
"both",158.191470787118,"BaP","LPS"
