"rural","low","moderate","high"
31.7460317460317,32.9365079365079,36.9047619047619,33.3333333333333
37.3015873015873,33.3333333333333,37.3015873015873,39.6825396825397
42.8571428571429,37.3015873015873,40.0793650793651,41.2698412698413
43.2539682539683,39.6825396825397,44.4444444444444,73.4126984126984
51.1904761904762,40.8730158730159,44.4444444444444,79.3650793650794
51.1904761904762,43.6507936507936,47.6190476190476,85.3174603174603
56.7460317460317,44.4444444444444,49.2063492063492,85.3174603174603
57.5396825396825,44.4444444444444,49.2063492063492,102.380952380952
59.9206349206349,44.4444444444444,49.2063492063492,110.714285714286
60.7142857142857,45.2380952380952,49.2063492063492,129.761904761905
61.5079365079365,51.984126984127,52.7777777777778,129.761904761905
69.4444444444444,52.7777777777778,52.7777777777778,149.206349206349
76.1904761904762,53.5714285714286,64.2857142857143,149.206349206349
78.1746031746032,55.5555555555556,78.5714285714286,155.15873015873
86.5079365079365,57.5396825396825,115.47619047619,155.15873015873
