"condition","Cyp1a2.raw","Cyp1b1.raw","Cyp1a2","Cyp1b1","Cyp1a2.transform","Cyp1b1.transform"
"control",5.665341562,57.98705769,0.739122363639307,0.740608672739391,0.259314459838715,0.259459652131956
"control",6.147923041,59.66660332,0.802081809156147,0.762059770784223,0.265035204637131,0.26149837820234
"control",11.18160813,117.2358015,1.45879582720455,1.49733155647639,0.294939449515443,0.295791934631094
"LPS",7.780745939,60.87491632,1.01510619728291,0.777492302159894,0.279303169729879,0.262901871415931
"LPS",6.347679108,77.96407337,0.828142757958007,0.995754418315136,0.267166663781552,0.27826208546023
"LPS",7.402101702,66.90001493,0.965706806201701,0.854444650881074,0.276559008877749,0.269192250127925
"LPS",5.965896187,41.08907076,0.778333882027317,0.52478817467068,0.262976942244387,0.23148236283107
"BaP",5.862828162,62.57576423,0.764887229002086,0.799215472179846,0.261759382508822,0.264792808026941
"BaP",6.497922451,64.50449989,0.847744085359709,0.823849216572504,0.26868768563317,0.266824275730851
"BaP",5.821322967,59.28131033,0.759472300794143,0.757138822191432,0.261257981096336,0.261039904906889
"BaP",7.346814946,59.88221045,0.95849388226314,0.764813497507798,0.27613371650445,0.261752598601534
"combination",6.31603115,70.39989525,0.824013842999337,0.89914499992101,0.266837466305783,0.272370474599603
"combination",5.832181847,63.48513233,0.760888992261769,0.810829889748212,0.261389787077936,0.265765077415753
"combination",9.9338922,60.89879049,1.2960139830316,0.777797222224143,0.290635903776306,0.262929088218854
"combination",5.209147432,54.11812167,0.679605513692321,0.69119475720665,0.253045232047498,0.25433919270585
